Occupation Name,Verb-Noun Pairs,Matched Verb-Noun Pairs from AI
Sustainability Specialists,"collect information, inform maker","retrieve information, distribute information, gather information, incorporate information, collect information"
Credit Counselors,"calculate income, meet obligation",meet requirement
Residential Advisors,provide aid,"implement aid, operate aid, aid piloting, generate aid"
"Claims Adjusters, Examiners, and Investigators",report finding,identify report
"Telecommunications Equipment Installers and Repairers, Except Line Installers","perform maintenance, adjust area, lubricate component","perform rehabilitation, perform adjustment, perform aggregation, perform reconstruction, perform management, perform inspection, perform maintenance, determine area, monitor area"
Loan Officers,resolve problem,"solve problem, resolve problem"
"Cooks, Restaurant",supervise work,"work apparatus, perform work, work scheduling"
Freight Forwarders,"determine method, move good","differentiate method, understand method, obtain method, eliminate method, measure method, duplicate method, attribute method, recognize method, decide method, predict method, evaluate method, initialize method, calculate method, indicate method, verify method, analyze method, distinguish method, perceive method, determine method, assess method, correct method, consider method, analyse method, identify method"
Advanced Practice Psychiatric Nurses,treat patient,treat patient
Microsystems Engineers,contain component,"contain invariance, contain component, contain particle, contain plurality, contain identifier, contain linkage, contain modifier, contain element, contain mixture, contain derivative, comprise component, contain material, contain compound, contain sequence, contain processor, contain composition, contain complex"
Stockers and Order Fillers,"use register, accept cash","use compensation, use bandwidth, use adaptability, use consumption, use spreadsheet, use catalyst, use attribute, use messenger, use threshold, use satisfaction, use interpolation, use utility, use ophthalmoscope, use change, use management, use knowledge, use handler, use diffusion, use mapping, use vocabulary, use interval, use scheduler, indicate use, use computation, use bonding, use difficulty, use question, use instantiation, use reconnaissance, use protection, use estimation, use target, use supplementation, use concealment, use repetition, use circumstance, use context, use interest, use controller, use quantification, use display, use quantization, intervene use, use multitude, use identification, identify use, use repeater, use replication, use cluster, use fingerprinting, use planner, use discriminator, use credential, use description, use domain, support use, use electrocardiogram, use wearable, use proxy, use variability, use component, use portal, use handle, use heartbeat, use workflow, use switching, use quotient, use waveform, use computer, use instance, use electromyography, use repository, use evaluator, use occurrence, use browser, use oscillator, use preview, use consensus, use tracker, use encryption, use difference, use authorization, use choice, use constraint, use imitation, use principle, use statistic, use parameter, use packaging, use criterion, use landmark, use processing, use connectivity, use trajectory, facilitate use, use plurality, use category, use optimization, modify use, use indicator, use reasoning, classify use, use generator, use container, use supervision, use curricula, use personification, use conditioning, use recording, use delivery, quantify use, use conversion, use pointer, use programming, use perspective, use alignment, use chromatography, use ledger, use processor, use normalization, use universal, use premise, use appliance, use definition, use account, use property, use relevance, use grating, use website, use pipeline, use wallet, use newsletter, use deferral, use illustration, use bottleneck, use reclassification, use assessment, use authentication, use thermography, use configuration, use framework, use insertion, use disclosure, use inversion, use input, use collection, use example, use connection, use correspondence, use tetracycline, use measurement, use resonance, use understanding, use timing, use update, use counter, use stack, use overlay, use representation, use primer, use apparatus, use extract, use compression, use ordering, use navigation, use propagation, use count, use distillation, use profiling, use subset, use datum, enable use, use automation, use measure, use application, use running, use correction, use internet, use communication, use representative, use dictionary, use cardiogram, use signature, use reconstruction, use compiler, use candidate, use guarantee, restrict use, use biofeedback, use psilocybin, use extractor, use check, use transistor, use entry, use photograph, use coordinate, use information, use planning, use catalog, use discovery, use interrogation, use modality, use depolarization, use manipulator, use validation, use platform, use departure, use catheter, use hologram, use override, use thesaurus, use interface, use classification, use assembly, use identifier, use surveillance, use dispersion, use library, use occupancy, use capability, use lithography, use preparation, use multiple, use highlight, use query, use positioning, use hierarchy, use equipment, use intermediary, use regression, use entity, manage use, use microphone, use characteristic, use indication, use mismatch, use software, use infrastructure, use ligation, use lexicon, use resource, use fingerprint, use blueprint, use assistant, use coding, use currency, use session, use potential, use comparison, use functionality, use doppler, use pricing, use variance, use address, use manufacturing, use estimator, use protocol, use inference, use augmentation, use observation, use transmission, use commodity, use grouping, use association, use decoding, use magnification, use prefix, use contract, use spelling, use prescription, use marking, use provider, use oracle, use neighborhood, use segmentation, use regularization, use apprenticeship, use scanning, use probability, use differentiator, use discrimination, use permit, use telephone, use resolution, use implementation, use citation, use sensitizer, optimize use, use equilibrium, use prediction, use replacement, use instruction, use selection, use drawing, use cryptography, use recommendation, use hardware, use qualification, use profile, use retrieval, use comprehension, use convolution, use module, use database, use scaling, use foresight, use request, use procedure, use consistency, use provenance, use terminal, use affinity, use support, use preference, use adjustment, use propensity, use taxonomy, use gateway, use monitoring, use dispersal, use conversation, use interaction, use playback, use sampling, use ethernet, use accelerator, use perforation, use tracking, use search, use summarization, use entropy, use packet, use metadata, use conductance, use template, use combination, use modulus, use inspection, use reference, use accumulation, use frequency, use specification, use ultrasound, use transformer, use partitioning, use summary, use computing, use electroencephalogram, use scheduling, use feedback, use encoding, use primitive, use classifier, use priming, use surrogate, use transfer, use server, use guidance, use tending, use consumer, use interoperability, use spline, use exception, use tachograph, use pharmaceutical, use networks, determine use, use certificate, monitor use, use modulation, use tocopherol, use operator, use extraction, use queue, use uncertainty, use background, use visualization, use token, use automobile, use package, use sample, use repertoire, use approximation, use reinforcement, use coordination, use sentiment, use recognition, use amplification, use transaction, use factorization, use steering, use descriptor, use transformation, use reset, use balancing, use buffer, use therapeutic, use document, use locator, use construct, use envelope, use confidence, use commerce, use extension, use packer, use localization, use exercise, use mobile, use allocation, use estimate, use verification, use substitution, use utterance, use function, use determination, use distribution, use aggregation, use analyzer, use evaluation, use access, use proposal, use instrument"
"Education Administrators, Postsecondary",require action,"provide action, consider action, facilitate action, implement action"
Brownfield Redevelopment Specialists and Site Managers,implement plan,"establish plan, generate plan, plan conversation, plan resource, plan trajectory, determine plan, manage plan, plan mechanism, execute plan, identify plan, plan transmission, plan generation, plan configuration, construct plan, plan solution, evaluate plan, provide plan, produce plan"
"Economics Teachers, Postsecondary",assign work,"determine work, identify work"
"Securities, Commodities, and Financial Services Sales Agents",develop plan,"establish plan, generate plan, manage plan, identify plan, create plan, construct plan, evaluate plan, produce plan"
Biomass Plant Technicians,"operate equipment, regulate generator","operate appliance, operate equipment, operate facility, operate installation, operate machinery"
Coaches and Scouts,demonstrate use,"use operation, use compensation, use bandwidth, use adaptability, use grammar, use consumption, use spreadsheet, use catalyst, use metabolism, use attribute, use messenger, use threshold, use feature, use simulation, use satisfaction, use source, use translation, use predictor, use interpolation, use gesture, use utility, detect use, use ophthalmoscope, use change, use management, use knowledge, use handler, use diffusion, use plating, use control, use problem, use mapping, use stability, use vocabulary, use interval, indicate use, use replay, use computation, use bonding, use difficulty, use question, use instantiation, use reconnaissance, use earphone, use protection, use estimation, use radiation, use dilation, use target, use asymmetry, use supplementation, use concealment, use repetition, use circumstance, use context, use interest, use ellipse, use effect, use controller, use expression, use display, use quantification, use quantization, intervene use, use identification, use multitude, use agonist, use security, identify use, use repeater, use replication, use cluster, control use, use fingerprinting, use synchronization, use mutation, use element, use planner, use discriminator, use credential, use description, use domain, support use, use electrocardiogram, use excitation, use wearable, use proxy, use lattice, use variability, use reward, use contrast, use component, use portal, use handle, use heartbeat, use workflow, use switching, use mixture, use quotient, use waveform, use computer, use instance, use ablation, use electromyography, use pattern, use repository, use evaluator, use spectrometer, use occurrence, use coherence, use proof, use oscillator, use preview, use science, use network, use consensus, use tracker, use encryption, use difference, use result, use factor, use authorization, use choice, use absorption, use prop, use constraint, use imitation, use response, use principle, use reagent, use statistic, use parameter, use magnetometer, use packaging, use fragment, use criterion, use landmark, use processing, use detector, use connectivity, use avalanche, use gradient, use trajectory, facilitate use, use hydrogel, use plurality, use clumping, use category, use sharing, use optimization, modify use, use recovery, use indicator, use reasoning, use physiology, use publication, use fluorescence, classify use, use generator, use tensor, use container, use supervision, use curricula, use microscopy, use personification, use conditioning, use segment, use recording, use integration, use portion, use microscope, use method, use delivery, quantify use, use conversion, use concatenation, use imagery, use patient, use emulation, use pointer, use programming, use spectrometry, use perspective, use alignment, use vision, use nitrogen, use projection, use chromatography, use ledger, use processor, use normalization, use universal, use evolution, use premise, use oscillation, use generation, use decomposition, use community, reduce use, use illumination, use appliance, use definition, use account, use compound, use property, use detection, use sequence, use pressure, use relevance, use content, use training, use grating, use fusion, use variant, use pipeline, use newsletter, use deferral, use parallelism, use activity, use bottleneck, use illustration, use assessment, use authentication, use reclassification, use thermography, use picture, use filtration, use making, use manner, use configuration, use framework, use mechanism, use disclosure, use insertion, use inversion, use input, use collection, use neighbor, use example, use vocalization, use connection, use correspondence, use tetracycline, use measurement, use argument, use spectra, use resonance, use simulator, use understanding, use timing, use counter, use overlay, use electrolysis, use representation, use primer, use apparatus, use extract, use compression, use architecture, use orchestration, use insight, use ordering, use heuristic, use navigation, use attention, use strength, use propagation, use reality, use correlation, use count, use distillation, use profiling, use subset, use abstract, use datum, enable use, use automation, use measure, use application, use running, use correction, use internet, use communication, use representative, use dictionary, use cardiogram, use signature, use shield, use medium, use reconstruction, use compiler, use candidate, use pillar, use weighting, use technique, use guarantee, use collision, restrict use, use loyalty, use biofeedback, use psilocybin, use extractor, use inhibitor, use transistor, use temperature, use photograph, use coordinate, use information, use planning, use client, use topology, use warping, use molecule, use catalog, use discovery, use interrogation, use modality, use quantum, use analysis, use juxtaposition, use manipulator, use technology, use depolarization, use validation, use platform, use departure, use catheter, use hologram, use annotation, use override, use tomography, use interface, use thesaurus, use classification, use assembly, use identifier, use surveillance, use anatomy, use dispersion, use occupancy, use capability, use lithography, use perturbation, use graphic, use preparation, use algorithm, use irradiation, use multiple, use highlight, use positioning, use hierarchy, use equipment, use intermediary, use regression, use boundary, use spectrum, adjust use, manage use, use microphone, use characteristic, use indication, use mismatch, use software, use reaction, use infrastructure, use phosphor, use ligation, use lexicon, use resource, use behavior, use fingerprint, use blueprint, use assistant, use coding, use currency, use rotation, use momentum, use distance, use session, use potential, use comparison, use adaptation, use functionality, use doppler, use satellite, use routine, use pricing, use polygon, use variance, use address, use manufacturing, use estimator, use protocol, use neuroscience, use inference, use ensemble, use observation, use intelligence, use augmentation, use transmission, use normalizer, use commodity, use grouping, use artifact, use polymerization, use coupling, prevent use, use association, use decoding, use magnification, use character, use electrode, use learning, use contract, use separation, use spelling, use prescription, use signal, use pruning, use antagonist, use ontology, use marking, use provider, use collaboration, use oracle, use stream, use neighborhood, use segmentation, use regularization, use apprenticeship, use affect, use scanning, use intent, use strategy, use probability, use differentiator, use condition, use discrimination, use output, use diagnosis, use marker, use headphone, use permit, use solution, use resolution, use implementation, use reasoner, use spectroscopy, use cognition, use citation, use popularity, use relationship, use sensitizer, use theory, optimize use, use triangulation, use lineage, use equilibrium, use prediction, use subunit, use replacement, use instruction, use vibration, use selection, use dimension, use drawing, use velocity, use cryptography, use clustering, use recommendation, use hardware, use emotion, use qualification, use profile, use retrieval, use nuclease, use antibody, use formulation, use comprehension, use convolution, use diversity, use module, use material, use database, use scaling, use string, use foresight, use request, use procedure, use logic, use similarity, use structure, use consistency, use direction, use provenance, use beacon, use polishing, use capture, use movement, use terminal, use affinity, use support, use preference, use adjustment, use propensity, use sensitivity, use taxonomy, use relation, use gateway, use monitoring, use dispersal, use conversation, use metric, use induction, use interaction, use playback, use pseudo, use sampling, use ethernet, use accelerator, use perforation, use experience, use particle, use receptivity, use engineering, use tracking, use search, use variation, use summarization, use dialogue, use stimulation, use entropy, use program, use geometry, use matrix, use linkage, use metadata, use conductance, use template, use combination, use modulus, use inspection, use reference, use accumulation, use imaging, use frequency, use scale, use symmetry, use specification, use ultrasound, use transformer, use partitioning, use summary, use computing, use electroencephalogram, use scheduling, use language, use object, use feedback, use encoding, use primitive, use classifier, use priming, use surrogate, use transfer, use concept, use personality, use variable, use guidance, use tending, use consumer, use interoperability, use spline, use exception, use fluctuation, use shard, use telemetry, use tachograph, use pharmaceutical, use environment, use awareness, use sensing, use networks, determine use, use diagram, use synthesis, use certificate, use magnet, monitor use, use modulation, use approach, use tocopherol, use operator, use extraction, use uncertainty, use background, use visualization, use token, use automobile, use capacity, use composition, use sample, use driving, use repertoire, use dynamic, use approximation, use reinforcement, use coordination, use sentiment, use recognition, use amplification, use transaction, use reduction, use factorization, use product, use steering, use deviation, use descriptor, use design, use transformation, use reactor, use reset, use balancing, use buffer, use therapeutic, use document, use locator, predict use, use construct, use envelope, use confidence, use commerce, use extension, use evidence, use localization, use bacteriophage, use stimulus, use exercise, use allocation, use snapshot, use immunofluorescence, use estimate, use verification, use substitution, use utterance, use function, use determination, use distribution, use aggregation, use analyzer, use forecasting, use intensity, use modeling, use dialog, use process, use evaluation, use tracing, use intersection, use access, use proposal, use instrument"
Credit Counselors,explain information,"recognize information, identify information, inform information, realize information, localize information, replicate information, manipulate information"
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic","remove scratch, use stone",use pillar
Logistics Engineers,"assess impact, use software","use bandwidth, use adaptability, use spreadsheet, use catalyst, use attribute, use messenger, use feature, use machine, use simulation, use satisfaction, use source, use interpolation, use utility, use ophthalmoscope, use management, use knowledge, use handler, use problem, use mapping, use vocabulary, use computation, use difficulty, use instantiation, use reconnaissance, use earphone, use estimation, use supplementation, use concealment, use repetition, use circumstance, use controller, use quantification, use display, use quantization, use multitude, use identification, use security, identify use, use replication, use cluster, use fingerprinting, use synchronization, use planner, use credential, predict impact, monitor impact, use description, use domain, use electrocardiogram, use wearable, use proxy, use variability, use component, use portal, use handle, use workflow, use switching, use quotient, use computer, use instance, use electromyography, use repository, use evaluator, use coherence, use browser, use oscillator, use preview, use network, use tracker, use encryption, use difference, use system, use authorization, use constraint, use imitation, use principle, use statistic, use parameter, use packaging, use processing, use detector, use connectivity, use trajectory, facilitate use, use category, use optimization, modify use, use indicator, use reasoning, use generator, use container, use supervision, use curricula, use microscopy, use conditioning, use segment, use recording, use integration, use microscope, use method, use delivery, quantify use, use conversion, use robot, use emulation, use tool, use programming, use perspective, use alignment, use projection, use ledger, use processor, use normalization, use universal, use premise, use appliance, use definition, use detection, use relevance, use content, use grating, use website, use pipeline, use newsletter, use parallelism, use illustration, use bottleneck, use reclassification, use assessment, use authentication, use thermography, use configuration, use framework, use mechanism, use disclosure, use insertion, use inversion, use input, use example, use vocalization, use connection, use correspondence, use tetracycline, use measurement, use resonance, use simulator, use understanding, use timing, use update, use stack, use overlay, use apparatus, use extract, use compression, use architecture, use ordering, use heuristic, use navigation, use propagation, use distillation, use profiling, use subset, enable use, use automation, use application, use correction, use internet, use communication, use dictionary, use cardiogram, use signature, use compiler, use technique, use guarantee, use biofeedback, use extractor, use keypad, use transistor, use coordinate, use format, use information, use planning, use client, use topology, use warping, use catalog, analyze impact, use modality, use analysis, use manipulator, use technology, use validation, use platform, use catheter, use hologram, use layout, use override, use tomography, use interface, use thesaurus, use classification, use identifier, use surveillance, use library, use capability, use lithography, use graphic, use preparation, use algorithm, use multiple, use highlight, use positioning, use equipment, use intermediary, manage use, use microphone, use characteristic, use mismatch, use software, use infrastructure, use lexicon, use resource, use fingerprint, use blueprint, use coding, evaluate impact, use potential, use comparison, use functionality, use doppler, use satellite, use pricing, use variance, use manufacturing, use protocol, use inference, use augmentation, use intelligence, use transmission, use commodity, use subsystem, use storage, use decoding, use magnification, use learning, use prescription, use provider, use collaboration, use oracle, use segmentation, use regularization, use apprenticeship, use scanning, use strategy, use probability, use differentiator, use headphone, use telephone, use solution, use resolution, use implementation, use sensitizer, optimize use, use prediction, use replacement, use instruction, use dimension, use cryptography, use recommendation, use hardware, use qualification, use profile, use retrieval, use formulation, use comprehension, use convolution, use module, use material, assess impact, use database, use scaling, use foresight, use procedure, use logic, use consistency, use provenance, use terminal, use preference, use adjustment, use propensity, use gateway, use monitoring, use conversation, use metric, use interaction, use playback, use sampling, use ethernet, use accelerator, use perforation, use experience, use engineering, use tracking, use summarization, use program, use geometry, use metadata, use device, use template, use combination, use modulus, use reference, use imaging, use specification, use ultrasound, use transformer, use user, use computing, use electroencephalogram, use scheduling, use feedback, use encoding, use primitive, use priming, use transfer, use server, use concept, use personality, use variable, use guidance, use tending, use consumer, use interoperability, use spline, use cloud, use exception, use telemetry, use tachograph, use pharmaceutical, use environment, use sensing, use networks, use synthesis, use certificate, monitor use, use approach, use operator, use extraction, use nanotube, use background, use visualization, use automobile, use package, use dynamic, use approximation, use reinforcement, use recognition, use amplification, use transaction, use product, use factorization, use descriptor, use design, use transformation, use reset, use balancing, measure impact, use therapeutic, determine impact, use document, use construct, use envelope, use commerce, use extension, use localization, assess effect, use kernel, use mobile, use verification, use substitution, use function, use distribution, use aggregation, use analyzer, use modeling, use process, use evaluation, use access, use instrument"
"Sawing Machine Setters, Operators, and Tenders, Wood","adjust blade, use wrench, turn handwheel","use actuator, use stub, use strut"
Cytogenetic Technologists,select system,"configure system, customize system, select system"
Log Graders and Scalers,"inspect log, ascertain characteristic","determine combination, determine impression, determine attribute, determine correlation, determine orientation, determine segmentation, determine interaction, determine characteristic, determine meaning, determine preference, determine difference, determine dimension, determine variation, determine hybridisation, determine propensity, determine structure, ascertain anomaly, determine probability, determine prediction, determine familiarity, determine understanding, determine plurality, determine pattern, determine element, determine proportion, determine compound, identify characteristic, determine physiology, determine reflection, determine comprehensiveness, determine signature, determine individual, determine progression, determine glossiness, determine highlight, determine presence, determine constraint, determine anomaly, assess characteristic, determine functionality, determine variability, determine sequence, evaluate characteristic, determine similarity, determine descriptor, determine attribution, ascertain description, determine context"
Quality Control Systems Managers,define requirement,"define application, determine requirement, define implementation"
"Business Teachers, Postsecondary","improve program, develop program, provide access","implement access, construct program, provide accessibility, establish program, integrate access, enable access, coordinate access, support access, establish access, develop program, provide availability, facilitate access, provide connection, create access, create program, transform program, produce program, provide credential, provide access, provide connectivity, develop curriculum, communicate access, generate program"
Museum Technicians and Conservators,"perform work, interview people, identify artifact, view site","identify artifact, perform work"
Athletic Trainers,"play field, locate item, injure player",locate item
Brownfield Redevelopment Specialists and Site Managers,implement plan,"establish plan, generate plan, plan conversation, plan resource, plan trajectory, determine plan, manage plan, plan mechanism, execute plan, identify plan, plan transmission, plan generation, plan configuration, construct plan, plan solution, evaluate plan, provide plan, produce plan"
Dancers,modify step,incorporate step
"Philosophy and Religion Teachers, Postsecondary",read literature,"read understanding, read comprehension"
Fence Erectors,"point slat, construct fence",generate fence
Pile Driver Operators,"conduct check, ensure functioning","ensure sufficiency, ensure consistency, ensure robustness, ensure reproducibility, ensure positioning, ensure execution, ensure transport, ensure determinism, ensure integrity, ensure compliance"
Hoist and Winch Operators,"use lever, unwind cable","use mechanism, use linkage, use universal, use steering, use adaptability, use stub, use device, use manipulator, use balancing, use difficulty, use adjustment, use sensing, use threshold, use override, use timing, use interface, use confidence, use equilibrium, use handle, use trajectory, use switching, use overlay, use functionality, use dimension, use instance, use apparatus, use compression, use hardware, use capability, use pressure, use repetition, use circumstance, use clumping, use indicator, use accelerator, use controller, use slider, use frame, use positioning, use handler, use multitude, use alignment, use insertion, use generator, use priming, use actuator, use scaling, use dynamic, use adder, use bottleneck, use entropy, use warping, adjust use, use coupling, use microphone, use interoperability, use consistency, use spline, use instrument, use prop, use configuration"
Architectural and Engineering Managers,identify threat,"identify threat, analyze threat, mitigate threat, determine threat, detect threat"
Art Therapists,"synthesize datum, draw conclusion, make recommendation","make formulation, make composition, make resource, make estimation, make recommendation, make decision, make prediction, make material, make construction, draw conclusion, make structure, make information, make request, make determination, make adjustment, make inference, make capability, synthesize datum, make advice, make restoration"
Coaches and Scouts,conduct session,conduct session
Agricultural Equipment Operators,"drive truck, haul crop",drive vehicle
Medical Secretaries and Administrative Assistants,use typewriter,"use bandwidth, use adaptability, use grammar, use spreadsheet, use catalyst, use attribute, use messenger, use feature, use machine, use satisfaction, use interpolation, use gesture, use utility, use ophthalmoscope, use phrase, use knowledge, use handler, use diffusion, use problem, use mapping, use vocabulary, indicate use, use computation, use difficulty, use question, use reconnaissance, use pseudonym, use earphone, use copy, use asymmetry, use supplementation, use concealment, use repetition, use circumstance, use context, use ellipse, use controller, use display, use multitude, use identification, use agonist, identify use, use replication, use cluster, use fingerprinting, use planner, use credential, use description, use electrocardiogram, use wearable, use proxy, use lattice, use contrast, use component, use handle, use portal, use heartbeat, use workflow, use switching, use mixture, use computer, use instance, use electromyography, use pattern, use repository, use evaluator, use coherence, use browser, use oscillator, use script, use preview, use tracker, use encryption, use difference, use article, use choice, use prop, use constraint, use imitation, use principle, use statistic, use parameter, use packaging, use fragment, use landmark, use processing, use detector, use connectivity, use gradient, use trajectory, facilitate use, use plurality, use clumping, use category, use sharing, use optimization, modify use, use indicator, use reasoning, classify use, use generator, use tensor, use container, use curricula, use conditioning, use screen, use recording, quantify use, use conversion, use imagery, use pointer, use programming, use perspective, use alignment, use projection, use chromatography, use ledger, use processor, use patch, use universal, use premise, use illumination, use appliance, use definition, use account, use relevance, use content, use grating, use website, use variant, use wallet, use newsletter, use parallelism, use illustration, use bottleneck, use authentication, use thermography, use picture, use volume, use configuration, use framework, use insertion, use disclosure, use reader, use inversion, use input, use collection, use example, use vocalization, use connection, use correspondence, use tetracycline, use measurement, use resonance, use understanding, use timing, use update, use stack, use overlay, use primer, use apparatus, use extract, use compression, use architecture, use ordering, use heuristic, use navigation, use propagation, use message, use abstract, use subset, use application, use correction, use internet, use representative, use dictionary, use cardiogram, use signature, use compiler, use pillar, use technique, use guarantee, use biofeedback, use keypad, use transistor, use guesser, use photograph, use coordinate, use format, use information, use topology, use warping, use catalog, use discovery, use modality, use juxtaposition, use manipulator, use platform, use memory, use catheter, use hologram, use layout, use override, use thesaurus, use interface, use identifier, use surveillance, use anatomy, use dispersion, use library, use capability, use cache, use lithography, use graphic, use algorithm, use highlight, use query, use positioning, use hierarchy, use intermediary, use spectrum, use microphone, use characteristic, use filter, use mismatch, use software, use lexicon, use resource, use fingerprint, use blueprint, use coding, use functionality, use comparison, use doppler, use satellite, use routine, use polygon, use address, use mirror, use guide, use protocol, use inference, use augmentation, use commodity, use artifact, use storage, use decoding, use magnification, use prefix, use spelling, use prescription, use antagonist, use cursor, use marking, use oracle, use neighborhood, use segmentation, use regularization, use apprenticeship, use scanning, use differentiator, use marker, use headphone, use telephone, use sensitizer, use note, use palette, optimize use, use equilibrium, use prediction, use replacement, use instruction, use dimension, use drawing, use cryptography, use clustering, use recommendation, use hardware, use profile, use retrieval, use comprehension, use convolution, use module, use material, use database, use scaling, use foresight, use request, use procedure, use logic, use similarity, use consistency, use provenance, use polishing, use corpus, use affinity, use preference, use adjustment, use sensitivity, use taxonomy, use gateway, use dispersal, use conversation, use metric, use playback, use pseudo, use sampling, use ethernet, use accelerator, use slider, use particle, use receptivity, use tracking, use dialogue, use entropy, use packet, use geometry, use matrix, use metadata, use stub, use device, use template, use combination, use modulus, use reference, use symmetry, use specification, use ultrasound, use transformer, use batch, use summary, use computing, use electroencephalogram, use scheduling, use object, use feedback, use encoding, use primitive, use classifier, use server, use concept, use canvas, use personality, use guidance, use tending, use interoperability, use spline, use exception, use shard, use telemetry, use tachograph, use pharmaceutical, use sensing, use algebra, use diagram, use synthesis, use certificate, use magnet, monitor use, use nanotube, use background, use visualization, use token, use automobile, use package, use sample, use repertoire, use dynamic, use reinforcement, use sentiment, use product, use factorization, use descriptor, use transformation, use reset, use balancing, use buffer, use therapeutic, use document, use construct, use envelope, use packer, use extension, use read, use exercise, use kernel, use mobile, use snapshot, use verification, use glove, use utterance, use analyzer, use forecasting, use modeling, use dialog, use instrument"
Helpers--Electricians,operate equipment,"operate appliance, operate equipment, operate facility, operate installation, operate machinery"
First-Line Supervisors of Construction Trades and Extraction Workers,complete job,"generate job, allocate job, enhance job, sequence job, manage job"
Loan Officers,"plan method, estimate time","plan method, determine time, approximate time, plan mechanism, quantify time, measure time, calculate time, time indicator, plan configuration, predict time, plan solution, estimate time"
Statisticians,"prepare datum, organize information, weight data","prepare datum, communicate information, organize information, incorporate information, coordinate information, integrate information"
Electrical and Electronic Engineering Technologists and Technicians,"repair equipment, ensure functioning","ensure sufficiency, ensure consistency, ensure robustness, ensure reproducibility, ensure positioning, ensure execution, ensure transport, ensure determinism, ensure integrity, ensure compliance"
Family Medicine Physicians,prevent illness,"prevent dementia, prevent disease"
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",use swab,use assay
Farm and Home Management Educators,"conduct research, analyze datum, prepare report","visualize datum, analyse datum, conduct research, conduct study, analyze datum, evaluate datum"
Couriers and Messengers,"obtain signature, make payment","make payment, obtain preference, obtain characteristic, obtain identification"
"Special Education Teachers, Secondary School","implement strategy, meet need","implement platform, implement advancement, implement framework, meet need, implement directive, develop strategy, implement management, establish strategy, implement technique, implement solution, implement transformation, implement capability, implement functionality, implement prediction, implement marketplace, implement aggregation"
Rehabilitation Counselors,develop plan,"establish plan, generate plan, manage plan, identify plan, create plan, construct plan, evaluate plan, produce plan"
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",move control,control mover
"Fine Artists, Including Painters, Sculptors, and Illustrators","fill outline, use variety, label color","use modality, use adaptability, use consumption, use juxtaposition, use attribute, use preference, use sensitivity, use feature, use thesaurus, use interface, use classification, use conversion, use satisfaction, use interaction, use interpolation, use dispersion, use occupancy, use utility, use capability, use sampling, use lithography, use graphic, use preparation, use programming, use spectrometry, use multiple, use perspective, use experience, use positioning, use highlight, use receptivity, use intermediary, use number, use diffusion, use variation, use spectrum, use characteristic, use chromatography, use mismatch, use normalization, use universal, use computation, use coding, use combination, use reference, use decomposition, use instantiation, use specification, use illumination, use transformer, use appliance, use definition, use compound, use potential, use comparison, use functionality, use supplementation, use repetition, use computing, use relevance, use variance, use manufacturing, use display, use grating, use multitude, use primitive, use classifier, use variant, use priming, use augmentation, use personality, use commodity, use variable, use illustration, use reclassification, use replication, use cluster, use tending, use thermography, use interoperability, use spline, use exception, use configuration, use insertion, use inversion, use magnification, use collection, use description, use example, use vocalization, use pharmaceutical, use wearable, use measurement, use variability, use spectra, use prescription, use understanding, use contrast, use component, use array, use switching, use overlay, use mixture, use instance, use extraction, use extract, use compression, use background, use architecture, use visualization, use orchestration, use segmentation, use range, use heuristic, use regularization, use repository, use propagation, use spectrometer, use composition, use repertoire, use dynamic, use reinforcement, use differentiator, use distillation, use difference, use representative, use factorization, use dictionary, use cardiogram, use signature, use deviation, use imitation, use descriptor, use transformation, use statistic, use balancing, use packaging, use spectroscopy, use therapeutic, use medium, use sensitizer, use processing, use connectivity, use construct, use technique, use localization, use replacement, use instruction, use selection, use clustering, use extractor, use recommendation, use optimization, use physiology, use fluorescence, use comprehension, use convolution, classify use, use generator, use diversity, use material, use container, use distribution, use aggregation, use scaling, use foresight, use modeling, use conditioning, use catalog, use similarity, use consistency, use instrument"
Sheet Metal Workers,use tool,"use framework, use solution, use resource, use spreadsheet, use device, use template, use platform, use hologram, use method, use component, use interface, use machine, use technique, use workflow, use functionality, use hardware, use capability, use tool, use algorithm, use generator, use module, use strategy, use software"
Geographic Information Systems Technologists and Technicians,test model,test functionality
"Elementary School Teachers, Except Special Education",meet need,meet need
Receptionists and Information Clerks,"analyze datum, determine answer","visualize datum, analyse datum, assess answer, identify answer, determine answer, analyze datum, evaluate datum"
"Potters, Manufacturing",operate kiln,operate thermostat
Nuclear Medicine Technologists,"map radiopharmaceutical, use camera, produce image","use device, use fingerprint, generate image, use camera, map plurality, use sensing, use accelerometer, use earphone, use detector, map activity, visualize map, use switching, map environment, use surveillance, use computer, establish map, use transducer, synthesize map, use playback, use apparatus, produce image, map workload, use hardware, use lithography, use snapshot, use ethernet, distribute map, use mirror, use display, use scanning, use photograph, construct map, use screen, calculate map, generate map, use tracker, use lens, use fingerprinting, use microphone, use sensor, map construction, use picture, create image, use headphone, use antenna"
Civil Engineering Technologists and Technicians,"develop budget, estimate cost","calculate cost, estimate cost, predict cost, minimize cost, distribute cost, allocate cost"
