Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year,Women_Percentage_Out_Of_All_Women,Standardized_Occupational_Category,Major Group,Minor Group,Broad Group,Detailed Occupation,Occupation Name,Standardized_Occupation_Name,Combined Group,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title,2018 SOC Code,2018 SOC Title
Emergency management directors,14342,2199,9100,1518,5242,1515,36.5,7.6,86406,8811,93258,11424,75270,9961,(X),(X),2022,0.01057957,emergency management directors,,,Nov-60,,Emergency Management Directors,emergency management directors,Nov-60,,,,
Emergency management directors,14342,2199,9100,1518,5242,1515,36.5,7.6,86406,8811,93258,11424,75270,9961,(X),(X),2022,0.01057957,emergency management directors,,,,Nov-61,Emergency Management Directors,emergency management directors,Nov-61,11-9161.00,Emergency Management Directors,Nov-61,Emergency Management Directors
Personal service managers all other,59103,4662,19295,2715,39808,3789,67.4,3.7,49420,2439,62724,5439,45091,3988,71.9,9,2022,0.080341766,other personal service managers,,,,Nov-79,"Personal Service Managers, All Other",other personal service managers,Nov-79,11-9179.00,"Personal Service Managers, All Other",Nov-79,"Personal Service Managers, All Other"
Personal service managers all other,59103,4662,19295,2715,39808,3789,67.4,3.7,49420,2439,62724,5439,45091,3988,71.9,9,2022,0.080341766,other personal service managers,,,,Nov-79,"Personal Service Managers, All Other",other personal service managers,Nov-79,11-9179.01,Fitness and Wellness Coordinators,Nov-79,"Personal Service Managers, All Other"
Personal service managers all other,59103,4662,19295,2715,39808,3789,67.4,3.7,49420,2439,62724,5439,45091,3988,71.9,9,2022,0.080341766,other personal service managers,,,,Nov-79,"Personal Service Managers, All Other",other personal service managers,Nov-79,11-9179.02,Spa Managers,Nov-79,"Personal Service Managers, All Other"
Managers all other,3971697,41551,2455515,33113,1516182,22575,38.2,0.5,93144,694,102003,486,80164,847,78.6,1,2022,3.0600065075861496,other managers,,,,Nov-99,"Managers, All Other",other managers,Nov-99,11-9199.00,"Managers, All Other",Nov-99,"Managers, All Other"
Managers all other,3971697,41551,2455515,33113,1516182,22575,38.2,0.5,93144,694,102003,486,80164,847,78.6,1,2022,3.0600065075861496,other managers,,,,Nov-99,"Managers, All Other",other managers,Nov-99,11-9199.01,Regulatory Affairs Managers,Nov-99,"Managers, All Other"
Managers all other,3971697,41551,2455515,33113,1516182,22575,38.2,0.5,93144,694,102003,486,80164,847,78.6,1,2022,3.0600065075861496,other managers,,,,Nov-99,"Managers, All Other",other managers,Nov-99,11-9199.02,Compliance Managers,Nov-99,"Managers, All Other"
Managers all other,3971697,41551,2455515,33113,1516182,22575,38.2,0.5,93144,694,102003,486,80164,847,78.6,1,2022,3.0600065075861496,other managers,,,,Nov-99,"Managers, All Other",other managers,Nov-99,11-9199.08,Loss Prevention Managers,Nov-99,"Managers, All Other"
Managers all other,3971697,41551,2455515,33113,1516182,22575,38.2,0.5,93144,694,102003,486,80164,847,78.6,1,2022,3.0600065075861496,other managers,,,,Nov-99,"Managers, All Other",other managers,Nov-99,11-9199.09,Wind Energy Operations Managers,Nov-99,"Managers, All Other"
Managers all other,3971697,41551,2455515,33113,1516182,22575,38.2,0.5,93144,694,102003,486,80164,847,78.6,1,2022,3.0600065075861496,other managers,,,,Nov-99,"Managers, All Other",other managers,Nov-99,11-9199.10,Wind Energy Development Managers,Nov-99,"Managers, All Other"
Managers all other,3971697,41551,2455515,33113,1516182,22575,38.2,0.5,93144,694,102003,486,80164,847,78.6,1,2022,3.0600065075861496,other managers,,,,Nov-99,"Managers, All Other",other managers,Nov-99,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Nov-99,"Managers, All Other"
Business and Financial Operations Occupations,8274826,51495,3873340,36276,4401486,37763,53.2,0.3,79502,445,90069,577,71856,438,79.8,0.7,2022,8.883218375530992,business and financial operations occupations,13-0000,,,,Business and Financial Operations Occupations,business and financial operations occupations,13-0000,,,,
Agents and business managers of artists performers and athletes,38529,3862,21211,3005,17318,2745,44.9,5.5,80544,6658,86989,16343,77522,5726,89.1,19.5,2022,0.034951736,agents and business managers of artists performers and athletes,,,13-1010,,"Agents and Business Managers of Artists, Performers, and Athletes",agents and business managers of artists performers and athletes,13-1010,,,,
Agents and business managers of artists performers and athletes,38529,3862,21211,3005,17318,2745,44.9,5.5,80544,6658,86989,16343,77522,5726,89.1,19.5,2022,0.034951736,agents and business managers of artists performers and athletes,,,,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",agents and business managers of artists performers and athletes,13-1011,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",13-1011,"Agents and Business Managers of Artists, Performers, and Athletes"
Buyers and purchasing agents farm products,11016,2244,7827,2157,3189,1007,28.9,9.4,60016,6666,57154,10938,60689,3635,(X),(X),2022,0.006436141,buyers and purchasing agents farm products,,,,13-1021,"Buyers and Purchasing Agents, Farm Products",buyers and purchasing agents farm products,13-1021,13-1021.00,"Buyers and Purchasing Agents, Farm Products",13-1021,"Buyers and Purchasing Agents, Farm Products"
Wholesale and retail buyers except farm products,162959,7569,83545,5083,79414,5371,48.7,2.2,49096,1468,49268,2323,48925,2095,99.3,6.9,2022,0.16027584867347486,wholesale and retail buyers except farm products,,,,13-1022,"Wholesale and Retail Buyers, Except Farm Products",wholesale and retail buyers except farm products,13-1022,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",13-1022,"Wholesale and Retail Buyers, Except Farm Products"
Purchasing agents except wholesale retail and farm products,258874,9751,122580,7003,136294,6207,52.6,1.7,64287,972,66926,1501,61882,1467,92.5,3.1,2022,0.2750728652265669,purchasing agents except wholesale retail and farm products,,,,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",purchasing agents except wholesale retail and farm products,13-1023,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
Claims adjusters appraisers examiners and investigators,310640,9491,123246,5945,187394,8736,60.3,1.8,62505,1254,71947,1700,56033,1617,77.9,2.9,2022,0.37820450281206275,claims adjusters appraisers examiners and investigators,,,13-1030,,"Claims Adjusters, Appraisers, Examiners, and Investigators",claims adjusters appraisers examiners and investigators,13-1030,,,,
Compliance officers,318026,10792,142392,6431,175634,8148,55.2,1.5,76409,1371,78206,2604,75146,2623,96.1,4.8,2022,0.35447009854581163,compliance officers,,,13-1040,,Compliance Officers,compliance officers,13-1040,,,,
Compliance officers,318026,10792,142392,6431,175634,8148,55.2,1.5,76409,1371,78206,2604,75146,2623,96.1,4.8,2022,0.35447009854581163,compliance officers,,,,13-1041,Compliance Officers,compliance officers,13-1041,13-1041.00,Compliance Officers,13-1041,Compliance Officers
Compliance officers,318026,10792,142392,6431,175634,8148,55.2,1.5,76409,1371,78206,2604,75146,2623,96.1,4.8,2022,0.35447009854581163,compliance officers,,,,13-1041,Compliance Officers,compliance officers,13-1041,13-1041.01,Environmental Compliance Inspectors,13-1041,Compliance Officers
Compliance officers,318026,10792,142392,6431,175634,8148,55.2,1.5,76409,1371,78206,2604,75146,2623,96.1,4.8,2022,0.35447009854581163,compliance officers,,,,13-1041,Compliance Officers,compliance officers,13-1041,13-1041.03,Equal Opportunity Representatives and Officers,13-1041,Compliance Officers
Compliance officers,318026,10792,142392,6431,175634,8148,55.2,1.5,76409,1371,78206,2604,75146,2623,96.1,4.8,2022,0.35447009854581163,compliance officers,,,,13-1041,Compliance Officers,compliance officers,13-1041,13-1041.04,Government Property Inspectors and Investigators,13-1041,Compliance Officers
Compliance officers,318026,10792,142392,6431,175634,8148,55.2,1.5,76409,1371,78206,2604,75146,2623,96.1,4.8,2022,0.35447009854581163,compliance officers,,,,13-1041,Compliance Officers,compliance officers,13-1041,13-1041.06,Coroners,13-1041,Compliance Officers
Compliance officers,318026,10792,142392,6431,175634,8148,55.2,1.5,76409,1371,78206,2604,75146,2623,96.1,4.8,2022,0.35447009854581163,compliance officers,,,,13-1041,Compliance Officers,compliance officers,13-1041,13-1041.07,Regulatory Affairs Specialists,13-1041,Compliance Officers
Compliance officers,318026,10792,142392,6431,175634,8148,55.2,1.5,76409,1371,78206,2604,75146,2623,96.1,4.8,2022,0.35447009854581163,compliance officers,,,,13-1041,Compliance Officers,compliance officers,13-1041,13-1041.08,Customs Brokers,13-1041,Compliance Officers
Cost estimators,144707,7453,121540,6449,23167,2944,16,1.8,77484,2384,81208,2088,62419,3321,76.9,4.4,2022,0.046756373,cost estimators,,,13-1050,,Cost Estimators,cost estimators,13-1050,,,,
Cost estimators,144707,7453,121540,6449,23167,2944,16,1.8,77484,2384,81208,2088,62419,3321,76.9,4.4,2022,0.046756373,cost estimators,,,,13-1051,Cost Estimators,cost estimators,13-1051,13-1051.00,Cost Estimators,13-1051,Cost Estimators
Human resources workers,891153,18353,227697,9485,663456,16240,74.4,0.9,69090,1126,76169,2386,67046,1026,88,2.9,2022,1.339007901094378,human resources workers,,,13-1070,,Human Resources Workers,human resources workers,13-1070,,,,
Compensation benefits and job analysis specialists,75148,5041,20335,2591,54813,4322,72.9,3,65693,3386,72058,4268,62674,3433,87,7,2022,0.11062533172160045,compensation benefits and job analysis specialists,,,13-1140,,"Compensation, Benefits, and Job Analysis Specialists",compensation benefits and job analysis specialists,13-1140,,,,
Compensation benefits and job analysis specialists,75148,5041,20335,2591,54813,4322,72.9,3,65693,3386,72058,4268,62674,3433,87,7,2022,0.11062533172160045,compensation benefits and job analysis specialists,,,,13-1141,"Compensation, Benefits, and Job Analysis Specialists",compensation benefits and job analysis specialists,13-1141,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",13-1141,"Compensation, Benefits, and Job Analysis Specialists"
Training and development specialists,163797,7633,76066,5330,87731,5327,53.6,2.3,69172,1712,74779,2838,64361,2655,86.1,4.6,2022,0.17706148135055058,training and development specialists,,,13-1150,,Training and Development Specialists,training and development specialists,13-1150,,,,
Training and development specialists,163797,7633,76066,5330,87731,5327,53.6,2.3,69172,1712,74779,2838,64361,2655,86.1,4.6,2022,0.17706148135055058,training and development specialists,,,,13-1151,Training and Development Specialists,training and development specialists,13-1151,13-1151.00,Training and Development Specialists,13-1151,Training and Development Specialists
Logisticians,163635,7302,102377,6118,61258,4926,37.4,2.5,61013,1596,63544,1964,57006,3406,89.7,6.5,2022,0.1236328347399668,logisticians,,,,13-1081,Logisticians,logisticians,13-1081,13-1081.00,Logisticians,13-1081,Logisticians
Logisticians,163635,7302,102377,6118,61258,4926,37.4,2.5,61013,1596,63544,1964,57006,3406,89.7,6.5,2022,0.1236328347399668,logisticians,,,,13-1081,Logisticians,logisticians,13-1081,13-1081.01,Logistics Engineers,13-1081,Logisticians
Logisticians,163635,7302,102377,6118,61258,4926,37.4,2.5,61013,1596,63544,1964,57006,3406,89.7,6.5,2022,0.1236328347399668,logisticians,,,,13-1081,Logisticians,logisticians,13-1081,13-1081.02,Logistics Analysts,13-1081,Logisticians
Project management specialists,881434,16296,484191,12715,397243,10944,45.1,1,95459,1009,101467,802,88226,1894,87,1.9,2022,0.801728397,project management specialists,,,,13-1082,Project Management Specialists,project management specialists,13-1082,13-1082.00,Project Management Specialists,13-1082,Project Management Specialists
Management analysts,843716,15217,478995,12818,364721,9741,43.2,1,100415,1018,106052,1173,90607,1362,85.4,1.5,2022,0.7360914675502862,management analysts,,,13-1110,,Management Analysts,management analysts,13-1110,,,,
Management analysts,843716,15217,478995,12818,364721,9741,43.2,1,100415,1018,106052,1173,90607,1362,85.4,1.5,2022,0.7360914675502862,management analysts,,,,13-1111,Management Analysts,management analysts,13-1111,13-1111.00,Management Analysts,13-1111,Management Analysts
Meeting convention and event planners,108107,6266,26274,3376,81833,4784,75.7,2.4,60362,2240,61757,7479,60240,2108,97.5,12.1,2022,0.16515795104762973,meeting convention and event planners,,,13-1120,,"Meeting, Convention, and Event Planners",meeting convention and event planners,13-1120,,,,
Meeting convention and event planners,108107,6266,26274,3376,81833,4784,75.7,2.4,60362,2240,61757,7479,60240,2108,97.5,12.1,2022,0.16515795104762973,meeting convention and event planners,,,,13-1121,"Meeting, Convention, and Event Planners",meeting convention and event planners,13-1121,13-1121.00,"Meeting, Convention, and Event Planners",13-1121,"Meeting, Convention, and Event Planners"
Fundraisers,69452,4030,18839,2016,50613,3509,72.9,2.5,80245,3877,91118,6889,77105,2468,84.6,7.3,2022,0.10214875876936791,fundraisers,,,13-1130,,Fundraisers,fundraisers,13-1130,,,,
Fundraisers,69452,4030,18839,2016,50613,3509,72.9,2.5,80245,3877,91118,6889,77105,2468,84.6,7.3,2022,0.10214875876936791,fundraisers,,,,13-1131,Fundraisers,fundraisers,13-1131,13-1131.00,Fundraisers,13-1131,Fundraisers
Market research analysts and marketing specialists,359922,10400,151099,7296,208823,8678,58,1.7,78777,2390,87080,2892,73866,2039,84.8,3.6,2022,0.4214531889533463,market research analysts and marketing specialists,,,13-1160,,Market Research Analysts and Marketing Specialists,market research analysts and marketing specialists,13-1160,,,,
Market research analysts and marketing specialists,359922,10400,151099,7296,208823,8678,58,1.7,78777,2390,87080,2892,73866,2039,84.8,3.6,2022,0.4214531889533463,market research analysts and marketing specialists,,,,13-1161,Market Research Analysts and Marketing Specialists,market research analysts and marketing specialists,13-1161,13-1161.00,Market Research Analysts and Marketing Specialists,13-1161,Market Research Analysts and Marketing Specialists
Market research analysts and marketing specialists,359922,10400,151099,7296,208823,8678,58,1.7,78777,2390,87080,2892,73866,2039,84.8,3.6,2022,0.4214531889533463,market research analysts and marketing specialists,,,,13-1161,Market Research Analysts and Marketing Specialists,market research analysts and marketing specialists,13-1161,13-1161.01,Search Marketing Strategists,13-1161,Market Research Analysts and Marketing Specialists
Business operations specialists all other,398142,9744,174164,7772,223978,8942,56.3,1.7,71055,1265,83974,4057,62437,1263,74.4,4,2022,0.4520394896893187,other business operations specialists,,,,13-1199,"Business Operations Specialists, All Other",other business operations specialists,13-1199,13-1199.00,"Business Operations Specialists, All Other",13-1199,"Business Operations Specialists, All Other"
Business operations specialists all other,398142,9744,174164,7772,223978,8942,56.3,1.7,71055,1265,83974,4057,62437,1263,74.4,4,2022,0.4520394896893187,other business operations specialists,,,,13-1199,"Business Operations Specialists, All Other",other business operations specialists,13-1199,13-1199.04,Business Continuity Planners,13-1199,"Business Operations Specialists, All Other"
Business operations specialists all other,398142,9744,174164,7772,223978,8942,56.3,1.7,71055,1265,83974,4057,62437,1263,74.4,4,2022,0.4520394896893187,other business operations specialists,,,,13-1199,"Business Operations Specialists, All Other",other business operations specialists,13-1199,13-1199.05,Sustainability Specialists,13-1199,"Business Operations Specialists, All Other"
Business operations specialists all other,398142,9744,174164,7772,223978,8942,56.3,1.7,71055,1265,83974,4057,62437,1263,74.4,4,2022,0.4520394896893187,other business operations specialists,,,,13-1199,"Business Operations Specialists, All Other",other business operations specialists,13-1199,13-1199.06,Online Merchants,13-1199,"Business Operations Specialists, All Other"
Business operations specialists all other,398142,9744,174164,7772,223978,8942,56.3,1.7,71055,1265,83974,4057,62437,1263,74.4,4,2022,0.4520394896893187,other business operations specialists,,,,13-1199,"Business Operations Specialists, All Other",other business operations specialists,13-1199,13-1199.07,Security Management Specialists,13-1199,"Business Operations Specialists, All Other"
Accountants and auditors,1477357,22067,620203,14727,857154,16659,58,0.8,80484,610,91014,1092,74083,894,81.4,1.5,2022,1.729935336261411,accountants and auditors,,,13-2010,,Accountants and Auditors,accountants and auditors,13-2010,,,,
Accountants and auditors,1477357,22067,620203,14727,857154,16659,58,0.8,80484,610,91014,1092,74083,894,81.4,1.5,2022,1.729935336261411,accountants and auditors,,,,13-2011,Accountants and Auditors,accountants and auditors,13-2011,13-2011.00,Accountants and Auditors,13-2011,Accountants and Auditors
Property appraisers and assessors,71885,4331,47403,3707,24482,2516,34.1,3,74566,2960,80357,4222,62466,3645,77.7,6.2,2022,0.049410347,property appraisers and assessors,,,13-2020,,Property Appraisers and Assessors,property appraisers and assessors,13-2020,,,,
Budget analysts,46344,3777,16899,2268,29445,2794,63.5,3.6,86190,3308,94450,4828,82126,3721,87,5.3,2022,0.059426831,budget analysts,,,13-2030,,Budget Analysts,budget analysts,13-2030,,,,
Budget analysts,46344,3777,16899,2268,29445,2794,63.5,3.6,86190,3308,94450,4828,82126,3721,87,5.3,2022,0.059426831,budget analysts,,,,13-2031,Budget Analysts,budget analysts,13-2031,13-2031.00,Budget Analysts,13-2031,Budget Analysts
Credit analysts,32625,3526,16399,2280,16226,2233,49.7,4.4,67216,3925,71535,6288,64683,6047,90.4,10.7,2022,0.032747827,credit analysts,,,13-2040,,Credit Analysts,credit analysts,13-2040,,,,
Credit analysts,32625,3526,16399,2280,16226,2233,49.7,4.4,67216,3925,71535,6288,64683,6047,90.4,10.7,2022,0.032747827,credit analysts,,,,13-2041,Credit Analysts,credit analysts,13-2041,13-2041.00,Credit Analysts,13-2041,Credit Analysts
Financial and investment analysts,315205,9735,183483,6517,131722,6703,41.8,1.4,94528,2122,102368,2177,86475,1968,84.5,2.5,2022,0.26584551009856516,financial and investment analysts,,,,13-2051,Financial and Investment Analysts,financial and investment analysts,13-2051,13-2051.00,Financial and Investment Analysts,13-2051,Financial and Investment Analysts
Personal financial advisors,413396,11882,287413,9882,125983,6909,30.5,1.4,112886,5348,131967,6055,83251,4373,63.1,4.5,2022,0.254262879,personal financial advisors,,,,13-2052,Personal Financial Advisors,personal financial advisors,13-2052,13-2052.00,Personal Financial Advisors,13-2052,Personal Financial Advisors
Insurance underwriters,128162,6355,51085,4135,77077,4877,60.1,2.5,74709,2662,81183,1964,71420,2192,88,3.4,2022,0.15555924129505405,insurance underwriters,,,,13-2053,Insurance Underwriters,insurance underwriters,13-2053,13-2053.00,Insurance Underwriters,13-2053,Insurance Underwriters
Financial examiners,21466,2772,11521,1774,9945,2154,46.3,6.7,82323,4976,96265,11316,63210,4523,65.7,9.8,2022,0.020071313811893463,financial examiners,,,13-2060,,Financial Examiners,financial examiners,13-2060,,,,
Financial examiners,21466,2772,11521,1774,9945,2154,46.3,6.7,82323,4976,96265,11316,63210,4523,65.7,9.8,2022,0.020071313811893463,financial examiners,,,,13-2061,Financial Examiners,financial examiners,13-2061,13-2061.00,Financial Examiners,13-2061,Financial Examiners
Credit counselors and loan officers,350286,12610,166771,8462,183515,9143,52.4,1.8,74696,2210,94848,5382,62044,1338,65.4,3.9,2022,0.3703757822211794,credit counselors and loan officers,,,13-2070,,Credit Counselors and Loan Officers,credit counselors and loan officers,13-2070,,,,
Tax examiners and collectors and revenue agents,60965,4137,22196,2790,38769,3302,63.6,3.7,58679,3253,76447,9904,56072,1795,73.3,10.2,2022,0.078244823,tax examiners and collectors and revenue agents,,,,13-2081,"Tax Examiners and Collectors, and Revenue Agents",tax examiners and collectors and revenue agents,13-2081,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",13-2081,"Tax Examiners and Collectors, and Revenue Agents"
Tax preparers,65064,4538,26768,2696,38296,4130,58.9,3.9,64212,1974,77442,8648,58976,6306,76.2,12.1,2022,0.077290199,tax preparers,,,,13-2082,Tax Preparers,tax preparers,13-2082,13-2082.00,Tax Preparers,13-2082,Tax Preparers
Other financial specialists,92814,5916,40821,3757,51993,3969,56,2.7,79522,4300,104766,4326,67224,4059,64.2,4.9,2022,0.10493391845367288,other financial specialists,,,,13-2099,"Financial Specialists, All Other",other financial specialists,13-2099,13-2099.00,"Financial Specialists, All Other",13-2099,"Financial Specialists, All Other"
Other financial specialists,92814,5916,40821,3757,51993,3969,56,2.7,79522,4300,104766,4326,67224,4059,64.2,4.9,2022,0.10493391845367288,other financial specialists,,,,13-2099,"Financial Specialists, All Other",other financial specialists,13-2099,13-2099.01,Financial Quantitative Analysts,13-2099,"Financial Specialists, All Other"
Other financial specialists,92814,5916,40821,3757,51993,3969,56,2.7,79522,4300,104766,4326,67224,4059,64.2,4.9,2022,0.10493391845367288,other financial specialists,,,,13-2099,"Financial Specialists, All Other",other financial specialists,13-2099,13-2099.04,"Fraud Examiners, Investigators and Analysts",13-2099,"Financial Specialists, All Other"
Computer Engineering and Science Occupations,10169079,79292,7585606,61264,2583473,32111,25.4,0.2,94945,349,99692,526,83152,728,83.4,0.8,2022,5.214046989195962,computer engineering and science occupations,,,,,,,,,,,
Computer and Mathematical Occupations,5417891,52041,4045406,41145,1372485,21550,25.3,0.3,100196,324,103298,469,87509,952,84.7,1,2022,2.769992673415445,computer and mathematical occupations,15-0000,,,,Computer and Mathematical Occupations,computer and mathematical occupations,15-0000,,,,
Computer and information research scientists,28545,2959,21461,2659,7084,1379,24.8,4.4,112742,8841,106155,9370,123310,7869,(X),(X),2022,0.014297153046098873,computer and information research scientists,,,15-1220,,Computer and Information Research Scientists,computer and information research scientists,15-1220,,,,
Computer and information research scientists,28545,2959,21461,2659,7084,1379,24.8,4.4,112742,8841,106155,9370,123310,7869,(X),(X),2022,0.014297153046098873,computer and information research scientists,,,,15-1221,Computer and Information Research Scientists,computer and information research scientists,15-1221,15-1221.00,Computer and Information Research Scientists,15-1221,Computer and Information Research Scientists
Computer systems analysts,535886,13726,320955,9929,214931,9015,40.1,1.2,87856,1324,92580,1878,82464,1657,89.1,2.5,2022,0.4337805479038787,computer systems analysts,,,,15-1211,Computer Systems Analysts,computer systems analysts,15-1211,15-1211.00,Computer Systems Analysts,15-1211,Computer Systems Analysts
Computer systems analysts,535886,13726,320955,9929,214931,9015,40.1,1.2,87856,1324,92580,1878,82464,1657,89.1,2.5,2022,0.4337805479038787,computer systems analysts,,,,15-1211,Computer Systems Analysts,computer systems analysts,15-1211,15-1211.01,Health Informatics Specialists,15-1211,Computer Systems Analysts
Information security analysts,175555,8126,146013,7497,29542,2811,16.8,1.5,113090,3542,115110,4075,106640,3109,92.6,4.6,2022,0.0596226,information security analysts,,,,15-1212,Information Security Analysts,information security analysts,15-1212,15-1212.00,Information Security Analysts,15-1212,Information Security Analysts
Computer programmers,250047,7887,205941,7647,44106,3726,17.6,1.4,102971,1354,104611,1504,95305,4827,91.1,4.7,2022,0.089016125,computer programmers,,,,15-1251,Computer Programmers,computer programmers,15-1251,15-1251.00,Computer Programmers,15-1251,Computer Programmers
